_	T1	T2	T3	T4	T5	T6	T7	P1	P2
T1	-7.317660648733951	3.3320795598534576e-5	3.121441012818702e-5	3.523831006183407e-5	3.5412575916084956e-5	3.540941564048819e-5	-5.117524778639741	3.5359305511451035e-5	3.5056190383845615e-5
T2	0.4148212859483855	-4.49809302744378	-0.011787860684139674	-0.25488880696214933	1.7843111275162808	-0.13715582208505345	0.4150910919831314	0.5591707781917734	-0.0891795906441986
T3	3.2405124607728614e-5	-4.129675998641927e-5	-3.895062465152889	-4.073750629186999e-5	1.8530748921246292	-3.9748384658952287e-5	3.601210458493587e-5	7.70130230806213e-5	-3.8248497986976685e-5
T4	-0.003015231868996093	-0.002434751795742839	-0.0021874134299108513	-5.731485498821143	0.999555537999446	-0.00301709541573414	-0.0030213406870276192	-0.002977814567537226	-0.0028457272111626344
T5	0.000986769401527818	0.0009058370730395793	0.0031647832786015537	0.0009785661297283471	-9.379728761238644	0.000987105567782941	0.0009870416148068948	0.0009840968928746593	0.0009706189408506334
T6	0.0022447096961184182	0.001955413708203757	0.005684169546247224	0.002204289051758166	0.3284660373636062	-6.892076188647669	0.0022468076115565324	0.0022301882821848125	0.0021720114426655463
T7	0.0	0.0	0.0	0.0	0.0	0.0	-7.597811564181323	0.0	0.0
P1	-0.004683106407319761	-0.003434626485076763	-0.0031237489735337293	-0.004444812806153275	-0.04298254341557977	0.5278753668621231	-0.004699419456611214	-8.33312199270196	-0.004285202882308908
P2	1.8190460205790828	-0.002755355829647171	-0.0025659173069361393	-0.002935853631516328	-0.0029535565676524784	-0.002953215077547984	1.8189979999137382	-0.0029480167728512382	-5.490780070887448
O1	-0.009313981574932793	0.0004151591413953478	0.00037461495068169965	0.004253770748547603	-0.10263224961046062	0.0025339453934365725	-0.009339384670143868	-0.01342420561896023	0.001687337498879667
